name	description	function	returns	argument	type	details
ee.Number.erfInv	Computes the inverse error function of the input.	Number.erfInv()	Number	input	Number	The input value.
ee.Number.erfc	Computes the complementary error function of the input.	Number.erfc()	Number	input	Number	The input value.
ee.Number.erfcInv	Computes the inverse complementary error function of the input.	Number.erfcInv()	Number	input	Number	The input value.
ee.Number.evaluate	Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.	Number.evaluate(callback)		computedobject|callback	ComputedObject|Function	The ComputedObject instance.|A function of the form function(success, failure), called when the server returns an answer. If the request succeeded, the success argument contains the evaluated result.  If the request failed, the failure argument will contains an error message.
ee.Number.exp	Computes the Euler's number e raised to the power of the input.	Number.exp()	Number	input	Number	The input value.
ee.Number.expression	Computes a numeric expression.	ee.Number.expression(expression, vars)	Number	expression|vars	String|Dictionary, default: null	A mathematical expression string to be evaluated. In addiiton to the standard arithmetic, boolean and relational operators, expressions also support any function in Number, the '.' operator to extract child elements from the 'vars' dictionary, and mathematical constants Math.PI and Math.E|A dictionary of named values that can be used in the expression.
ee.Number.first	Selects the value of the first value.	Number.first(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.firstNonZero	Selects the first value if it is non-zero, and the second value otherwise.	Number.firstNonZero(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.first_nonzero	Selects the first value if it is non-zero, and the second value otherwise.	Number.first_nonzero(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.float	Casts the input value to a 32-bit float.	Number.float()	Number	input	Number	The input value.
ee.Number.floor	Computes the largest integer less than or equal to the input.	Number.floor()	Number	input	Number	The input value.
ee.Number.format	Convert a number to a string using printf-style formatting.	Number.format(pattern)	String	number|pattern	"Number|String, default: ""%s"""	The number to convert to a string.|A printf-style format string. For example, '%.2f' produces numbers formatted like '3.14', and '%05d' produces numbers formatted like '00042'. The format string must satisfy the following criteria:|1. Zero or more prefix characters.|2. Exactly one '%'.|3. Zero or more modifier characters in the set [#-+ 0,(.\d].|4. Exactly one conversion character in the set [sdoxXeEfgGaA].|5. Zero or more suffix characters.| |For more about format strings, see https://docs.oracle.com/javase/7/docs/api/java/util/Formatter.html
ee.Number.gamma	Computes the gamma function of the input.	Number.gamma()	Number	input	Number	The input value.
ee.Number.gammainc	Calculates the regularized lower incomplete Gamma function γ(x,a).	Number.gammainc(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.getInfo	Retrieves the value of this object from the server.	Number.getInfo(callback)	Object	computedobject|callback	ComputedObject|Function, optional	The ComputedObject instance.|An optional callback. If not supplied, the call is made synchronously.
ee.Number.gt	Returns 1 iff the first value is greater than the second.	Number.gt(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.gte	Returns 1 iff the first value is greater than or equal to the second.	Number.gte(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.hypot	Calculates the magnitude of the 2D vector [x, y].	Number.hypot(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.int	Casts the input value to a signed 32-bit integer.	Number.int()	Number	input	Number	The input value.
ee.Number.int16	Casts the input value to a signed 16-bit integer.	Number.int16()	Number	input	Number	The input value.
ee.Number.int32	Casts the input value to a signed 32-bit integer.	Number.int32()	Number	input	Number	The input value.
ee.Number.int64	Casts the input value to a signed 64-bit integer.	Number.int64()	Number	input	Number	The input value.
ee.Number.int8	Casts the input value to a signed 8-bit integer.	Number.int8()	Number	input	Number	The input value.
ee.Number.lanczos	Computes the Lanczos approximation of the input.	Number.lanczos()	Number	input	Number	The input value.
ee.Number.leftShift	Calculates the left shift of v1 by v2 bits.	Number.leftShift(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.left_shift	Calculates the left shift of v1 by v2 bits.	Number.left_shift(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.log	Computes the natural logarithm of the input.	Number.log()	Number	input	Number	The input value.
ee.Number.log10	Computes the base-10 logarithm of the input.	Number.log10()	Number	input	Number	The input value.
ee.Number.long	Casts the input value to a signed 64-bit integer.	Number.long()	Number	input	Number	The input value.
ee.Number.lt	Returns 1 iff the first value is less than the second.	Number.lt(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.lte	Returns 1 iff the first value is less than or equal to the second.	Number.lte(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.max	Selects the maximum of the first and second values.	Number.max(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.min	Selects the minimum of the first and second values.	Number.min(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.mod	Calculates the remainder of the first value divided by the second.	Number.mod(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.multiply	Multiplies the first value by the second.	Number.multiply(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.neq	Returns 1 iff the first value is not equal to the second.	Number.neq(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.not	Returns 0 if the input is non-zero, and 1 otherwise.	Number.not()	Number	input	Number	The input value.
ee.Number.or	Returns 1 iff either input value is non-zero.	Number.or(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.parse	Convert a string to a number.	ee.Number.parse(input, radix)	Number	input|radix	String|Integer, default: 10	The string to convert to a number.|An integer representing the base number system from which to convert. If input is not an integer, radix must equal 10 or not be specified.
ee.Number.pow	Raises the first value to the power of the second.	Number.pow(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.rightShift	Calculates the signed right shift of v1 by v2 bits.	Number.rightShift(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.right_shift	Calculates the signed right shift of v1 by v2 bits.	Number.right_shift(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.round	Computes the integer nearest to the input.	Number.round()	Number	input	Number	The input value.
ee.Number.serialize	Returns the serialized representation of this object.	Number.serialize()	String	computedobject	ComputedObject	The ComputedObject instance.
ee.Number.short	Casts the input value to a signed 16-bit integer.	Number.short()	Number	input	Number	The input value.
ee.Number.sin	Computes the sine of the input in radians.	Number.sin()	Number	input	Number	The input value.
ee.Number.sinh	Computes the hyperbolic sine of the input.	Number.sinh()	Number	input	Number	The input value.
ee.Number.sqrt	Computes the square root of the input.	Number.sqrt()	Number	input	Number	The input value.
ee.Number.subtract	Subtracts the second value from the first.	Number.subtract(right)	Number	left|right	Number|Number	The left-hand value.|The right-hand value.
ee.Number.tan	Computes the tangent of the input in radians.	Number.tan()	Number	input	Number	The input value.
ee.Number.tanh	Computes the hyperbolic tangent of the input.	Number.tanh()	Number	input	Number	The input value.
ee.Number.toByte	Casts the input value to an unsigned 8-bit integer.	Number.toByte()	Number	input	Number	The input value.
ee.Number.toDouble	Casts the input value to a 64-bit float.	Number.toDouble()	Number	input	Number	The input value.
ee.Number.toFloat	Casts the input value to a 32-bit float.	Number.toFloat()	Number	input	Number	The input value.
ee.Number.toInt	Casts the input value to a signed 32-bit integer.	Number.toInt()	Number	input	Number	The input value.
ee.Number.toInt16	Casts the input value to a signed 16-bit integer.	Number.toInt16()	Number	input	Number	The input value.
ee.Number.toInt32	Casts the input value to a signed 32-bit integer.	Number.toInt32()	Number	input	Number	The input value.
ee.Number.toInt64	Casts the input value to a signed 64-bit integer.	Number.toInt64()	Number	input	Number	The input value.
ee.Number.toInt8	Casts the input value to a signed 8-bit integer.	Number.toInt8()	Number	input	Number	The input value.
ee.Number.toLong	Casts the input value to a signed 64-bit integer.	Number.toLong()	Number	input	Number	The input value.
ee.Number.toShort	Casts the input value to a signed 16-bit integer.	Number.toShort()	Number	input	Number	The input value.
ee.Number.toUint16	Casts the input value to an unsigned 16-bit integer.	Number.toUint16()	Number	input	Number	The input value.
ee.Number.toUint32	Casts the input value to an unsigned 32-bit integer.	Number.toUint32()	Number	input	Number	The input value.
ee.Number.toUint8	Casts the input value to an unsigned 8-bit integer.	Number.toUint8()	Number	input	Number	The input value.
ee.Number.trigamma	Computes the trigamma function of the input.	Number.trigamma()	Number	input	Number	The input value.
ee.Number.uint16	Casts the input value to an unsigned 16-bit integer.	Number.uint16()	Number	input	Number	The input value.
ee.Number.uint32	Casts the input value to an unsigned 32-bit integer.	Number.uint32()	Number	input	Number	The input value.
ee.Number.uint8	Casts the input value to an unsigned 8-bit integer.	Number.uint8()	Number	input	Number	The input value.
ee.Number.unitScale	Scales the input so that the range of input values [min, max] becomes [0, 1]. Values outside the range are NOT clamped.  If min == max, 0 is returned.	ee.Number.unitScale(number, min, max)	Float	number|min|max	Float|Float|Float	||
ee.PixelType	Returns a PixelType of the given precision with the given limits per element, and an optional dimensionality.	ee.PixelType(precision, minValue, maxValue, dimensions)	PixelType	precision|minValue|maxValue|dimensions	Object|Number, default: null|Number, default: null|Integer, default: 0	The pixel precision, one of 'int', 'float', or 'double'.|The minimum value of pixels of this type. If precision is 'float' or 'double', this can be null, signifying negative infinity.|The maximum value of pixels of this type. If precision is 'float' or 'double', this can be null, signifying positive infinity.|The number of dimensions in which pixels of this type can vary; 0 is a scalar, 1 is a vector, 2 is a matrix, etc.
ee.PixelType.double	Returns the 64-bit floating point pixel type.	ee.PixelType.double()	PixelType
ee.PixelType.float	Returns the 32-bit floating point pixel type.	ee.PixelType.float()	PixelType
ee.PixelType.int16	Returns the 16-bit signed integer pixel type.	ee.PixelType.int16()	PixelType
ee.PixelType.int32	Returns the 32-bit signed integer pixel type.	ee.PixelType.int32()	PixelType
ee.PixelType.int64	Returns the 64-bit signed integer pixel type.	ee.PixelType.int64()	PixelType
ee.PixelType.int8	Returns the 8-bit signed integer pixel type.	ee.PixelType.int8()	PixelType
ee.PixelType.uint16	Returns the 16-bit unsigned integer pixel type.	ee.PixelType.uint16()	PixelType
ee.PixelType.uint32	Returns the 32-bit unsigned integer pixel type.	ee.PixelType.uint32()	PixelType
ee.PixelType.uint8	Returns the 8-bit unsigned integer pixel type.	ee.PixelType.uint8()	PixelType
ee.Projection	Returns a Projection with the given base coordinate system and the given transform between projected coordinates and the base. If no transform is specified, the identity transform is assumed.	ee.Projection(crs, transform, transformWkt)	Projection	crs|transform|transformWkt	Object|List, default: null|String, default: null	The base coordinate reference system of this Projection, given as a well-known authority code (e.g. 'EPSG:4326') or a WKT string.|The transform between projected coordinates and the base coordinate system, specified as a 2x3 affine transform matrix in row-major order: [xScale, xShearing, xTranslation, yShearing, yScale, yTranslation]. May not specify both this and 'transformWkt'.|The transform between projected coordinates and the base coordinate system, specified as a WKT string. May not specify both this and 'transform'.
ee.Projection.atScale	Returns the projection scaled such that its units have the given scale in linear meters, as measured at the point of true scale.	Projection.atScale(meters)	Projection	projection|meters	Projection|Float	|
ee.Projection.crs	Returns the authority code (e.g. 'EPSG:4326') for the base coordinate system of this projection, or null if the base coordinate system is not found in any available database.	Projection.crs()	String	projection	Projection
ee.Projection.nominalScale	Returns the linear scale in meters of the units of this projection, as measured at the point of true scale.	Projection.nominalScale()	Float	proj	Projection
ee.Projection.scale	Returns the projection scaled by the given amount in each axis.	Projection.scale(x, y)	Projection	projection|x|y	Projection|Float|Float	||
ee.Projection.transform	Returns a WKT representation of the transform of this Projection. This is the transform that converts from projected coordinates to the base coordinate system.	Projection.transform()	String	projection	Projection
ee.Projection.translate	Returns the projection translated by the given amount in each axis.	Projection.translate(x, y)	Projection	projection|x|y	Projection|Float|Float	||
ee.Projection.wkt	Returns a WKT representation of the base coordinate system of this Projection.	Projection.wkt()	String	projection	Projection
ee.Reducer.allNonZero	Returns a Reducer that returns 1 if all of its inputs are non-zero, 0 otherwise.	ee.Reducer.allNonZero()	Reducer
ee.Reducer.anyNonZero	Returns a Reducer that returns 1 if any of its inputs are non-zero, 0 otherwise.	ee.Reducer.anyNonZero()	Reducer
ee.Reducer.autoHistogram	Create a reducer that will compute a histogram of the inputs.  The output is a Nx2 array of the lower bucket bounds and the counts of each bucket, and is suitable for use per-pixel.	ee.Reducer.autoHistogram(maxBuckets, minBucketWidth, maxRaw)	Reducer	maxBuckets|minBucketWidth|maxRaw	Integer, default: null|Float, default: null|Integer, default: null	The maximum number of buckets to use when building a histogram; will be rounded up to a power of 2.|The minimum histogram bucket width, or null to allow any power of 2.|The number of values to accumulate before building the initial histogram.
ee.Reducer.bitwiseAnd	Returns a Reducer that computes the bitwise-and summation of its inputs.	ee.Reducer.bitwiseAnd()	Reducer
ee.Reducer.bitwiseOr	Returns a Reducer that computes the bitwise-or summation of its inputs.	ee.Reducer.bitwiseOr()	Reducer
ee.Reducer.centeredCovariance	Creates a reducer that reduces some number of 1-D arrays of the same length N to a covariance matrix of shape NxN.  WARNING: this reducer requires that the data has been mean centered.	ee.Reducer.centeredCovariance()	Reducer
ee.Reducer.combine	Creates a Reducer that runs two reducers in parallel.  The combined reducer's outputs will be those of reducer1 followed by those of reducer2, where the output names of reducer2 are prefixed with the given string.	Reducer.combine(reducer2, outputPrefix, sharedInputs)	Reducer	reducer1|reducer2|outputPrefix|sharedInputs	"Reducer|Reducer|String, default: """"|Boolean, default: false"	||Prefix for reducer2's output names.|
ee.Reducer.count	Returns a Reducer that computes the number of non-null inputs.	ee.Reducer.count()	Reducer
ee.Reducer.countDistinct	Returns a Reducer that computes the number of distinct inputs.	ee.Reducer.countDistinct()	Reducer
ee.Reducer.countEvery	Returns a Reducer that computes the number of inputs.	ee.Reducer.countEvery()	Reducer
ee.Reducer.countRuns	Returns a Reducer that computes the number of runs of distinct, non-null inputs.	ee.Reducer.countRuns()	Reducer
ee.Reducer.covariance	Creates a reducer that reduces some number of 1-D arrays of the same length N to a covariance matrix of shape NxN.  This reducer uses the one-pass covariance formula from Sandia National Laboratories Technical Report SAND2008-6212, which can lose accuracy if the values span a large range.	ee.Reducer.covariance()	Reducer
ee.Reducer.disaggregate	Separates aggregate inputs (Arrays, Lists or Dictionaries) into individual items that are then each passed to the specified reducer.  When used on dictionaries, the dictionary keys are ignored.  Non-aggregated inputs (ie: numbers or strings) are passed to the underlying reducer directly.	Reducer.disaggregate(axis)	Reducer	reducer|axis	Reducer|Integer, default: null	The reducer for which to disaggregate inputs.|If specified, indicates an array axis along which to disaggregate.  If not specified, arrays are completely disaggregated.  Ignored for non-array types.
ee.Reducer.first	Returns a Reducer that returns the first of its inputs.	ee.Reducer.first()	Reducer
ee.Reducer.firstNonNull	Returns a Reducer that returns the first of its non-null inputs.	ee.Reducer.firstNonNull()	Reducer
ee.Reducer.fixedHistogram	Creates a reducer that will compute a histogram of the inputs using a fixed number of fixed width bins. Values outside of the [min, max) range are ignored.  The output is a Nx2 array of bucket lower edges and counts and is suitable for use per-pixel.	ee.Reducer.fixedHistogram(min, max, steps)	Reducer	min|max|steps	Float|Float|Integer	The lower (inclusive) bound of the first bucket.|The upper (exclusive) bound of the last bucket.|The number of buckets to use.
ee.Reducer.forEach	Creates a Reducer by combining a copy of the given reducer for each output name in the given list.  If the reducer has a single output, the output names are used as-is; otherwise they are prefixed to the original output names.	Reducer.forEach(outputNames)	Reducer	reducer|outputNames	Reducer|List	|
ee.Reducer.forEachBand	Creates a Reducer by combining a copy of the given reducer for each band in the given image, using the band names as output names.	Reducer.forEachBand(image)	Reducer	reducer|image	Reducer|Image	|
ee.Reducer.forEachElement	Separately reduces each position in array inputs of equal shape, producing an array output of the same shape.	Reducer.forEachElement()	Reducer	reducer	Reducer	The reducer to apply to each array element.
ee.Reducer.frequencyHistogram	Returns a Reducer that returns a (weighted) frequency table of its inputs.	ee.Reducer.frequencyHistogram()	Reducer
ee.Reducer.getOutputs	Returns a list of the output names of the given reducer.	Reducer.getOutputs()	List	reducer	Reducer
ee.Reducer.group	Groups reducer records by the value of a given input, and reduces each group with the given reducer.	Reducer.group(groupField, groupName)	Reducer	reducer|groupField|groupName	"Reducer|Integer, default: 0|String, default: ""group"""	The reducer to apply to each group, without the group field.|The field that contains record groups.|The dictionary key that contains the group. Defaults to 'group'.
ee.Reducer.histogram	Create a reducer that will compute a histogram of the inputs.	ee.Reducer.histogram(maxBuckets, minBucketWidth, maxRaw)	Reducer	maxBuckets|minBucketWidth|maxRaw	Integer, default: null|Float, default: null|Integer, default: null	The maximum number of buckets to use when building a histogram; will be rounded up to a power of 2.|The minimum histogram bucket width, or null to allow any power of 2.|The number of values to accumulate before building the initial histogram.
ee.Reducer.intervalMean	Creates a Reducer to compute the mean of all inputs in the specified percentile range.  For small numbers of inputs (up to maxRaw) the mean will be computed directly; for larger numbers of inputs the mean will be derived from a histogram.	ee.Reducer.intervalMean(minPercentile, maxPercentile, maxBuckets, minBucketWidth, maxRaw)	Reducer	minPercentile|maxPercentile|maxBuckets|minBucketWidth|maxRaw	Float|Float|Integer, default: null|Float, default: null|Integer, default: null	The lower bound of the percentile range.|The upper bound of the percentile range.|The maximum number of buckets to use when building a histogram; will be rounded up to a power of 2.|The minimum histogram bucket width, or null to allow any power of 2.|The number of values to accumulate before building the initial histogram.
ee.Reducer.kendallsCorrelation	Creates a reducer that computes the Kendall's Tau-b rank correlation.  A positive tau value indicates an increasing trend; negative value indicates a decreasing trend. See https://commons.apache.org/proper/commons-math/javadocs/api-3.6/org/apache/commons/math3/stat/correlation/KendallsCorrelation.html for details.	ee.Reducer.kendallsCorrelation(numInputs)	Reducer	numInputs	Integer, default: 1	The number of inputs to expect (1 or 2).  If 1 is specified, automatically generates sequence numbers for the x value (meaning there can be no ties).
ee.Reducer.kurtosis	Returns a Reducer that Computes the kurtosis of its inputs.	ee.Reducer.kurtosis()	Reducer
ee.Reducer.last	Returns a Reducer that returns the last of its inputs.	ee.Reducer.last()	Reducer
ee.Reducer.lastNonNull	Returns a Reducer that returns the last of its non-null inputs.	ee.Reducer.lastNonNull()	Reducer
ee.Reducer.linearFit	Returns a Reducer that computes the slope and offset for a (weighted) linear regression of 2 inputs.  The inputs are expected to be x data followed by y data..	ee.Reducer.linearFit()	Reducer
ee.Reducer.linearRegression	Creates a reducer that computes a linear least squares regression with numX independent variables and numY dependent variables.	ee.Reducer.linearRegression(numX, numY)	Reducer	numX|numY	Integer|Integer, default: 1	The number of input dimensions.|The number of output dimensions.
ee.Reducer.max	Creates a reducer that outputs the maximum value of its (first) input.  If numInputs is greater than one, also outputs the corresponding values of the additional inputs.	ee.Reducer.max(numInputs)	Reducer	numInputs	Integer, default: 1	The number of inputs.
ee.Reducer.mean	Returns a Reducer that computes the (weighted) arithmetic mean of its inputs.	ee.Reducer.mean()	Reducer
ee.Reducer.median	Create a reducer that will compute the median of the inputs.  For small numbers of inputs (up to maxRaw) the median will be computed directly; for larger numbers of inputs the median will be derived from a histogram.	ee.Reducer.median(maxBuckets, minBucketWidth, maxRaw)	Reducer	maxBuckets|minBucketWidth|maxRaw	Integer, default: null|Float, default: null|Integer, default: null	The maximum number of buckets to use when building a histogram; will be rounded up to a power of 2.|The minimum histogram bucket width, or null to allow any power of 2.|The number of values to accumulate before building the initial histogram.
ee.Reducer.min	Creates a reducer that outputs the minimum value of its (first) input.  If numInputs is greater than one, also outputs the corresponding values of the additional inputs.	ee.Reducer.min(numInputs)	Reducer	numInputs	Integer, default: 1	The number of inputs.
ee.Reducer.minMax	Returns a Reducer that computes the minimum and maximum of its inputs.	ee.Reducer.minMax()	Reducer
ee.Reducer.mode	Create a reducer that will compute the mode of the inputs.  For small numbers of inputs (up to maxRaw) the mode will be computed directly; for larger numbers of inputs the mode will be derived from a histogram.	ee.Reducer.mode(maxBuckets, minBucketWidth, maxRaw)	Reducer	maxBuckets|minBucketWidth|maxRaw	Integer, default: null|Float, default: null|Integer, default: null	The maximum number of buckets to use when building a histogram; will be rounded up to a power of 2.|The minimum histogram bucket width, or null to allow any power of 2.|The number of values to accumulate before building the initial histogram.
ee.Reducer.pearsonsCorrelation	Creates a two-input reducer that computes Pearson's product-moment correlation coefficient and the 2-sided p-value test for correlation = 0.	ee.Reducer.pearsonsCorrelation()	Reducer
ee.Reducer.percentile	Create a reducer that will compute the specified percentiles, e.g. given [0, 50, 100] will produce outputs named 'p0', 'p50', and 'p100' with the min, median, and max respectively.  For small numbers of inputs (up to maxRaw) the percentiles will be computed directly; for larger numbers of inputs the percentiles will be derived from a histogram.	ee.Reducer.percentile(percentiles, outputNames, maxBuckets, minBucketWidth, maxRaw)	Reducer	percentiles|outputNames|maxBuckets|minBucketWidth|maxRaw	List|List, default: null|Integer, default: null|Float, default: null|Integer, default: null	A list of numbers between 0 and 100.|A list of names for the outputs, or null to get default names.|The maximum number of buckets to use when building a histogram; will be rounded up to a power of 2.|The minimum histogram bucket width, or null to allow any power of 2.|The number of values to accumulate before building the initial histogram.
ee.Reducer.product	Returns a Reducer that computes the product of its inputs.	ee.Reducer.product()	Reducer
ee.Reducer.repeat	Creates a Reducer by combining the specified number of copies of the given reducer.  Output names are the same as the given reducer, but each is a list of the corresponding output from each of the reducers.	Reducer.repeat(count)	Reducer	reducer|count	Reducer|Integer	|
ee.Reducer.ridgeRegression	Creates a reducer that computes a ridge regression with numX independent variables (not including constant) followed by numY dependent variables.  Ridge regression is a form of Tikhonov regularization which shrinks the regression coefficients by imposing a penalty on their size. With this implementation of ridge regression there NO NEED to include a constant value for bias.	ee.Reducer.ridgeRegression(numX, numY, lambda)	Reducer	numX|numY|lambda	Integer|Integer, default: 1|Float, default: 0.1	the number of independent variables being regressed.|the number of dependent variables.|Regularization parameter.
ee.Reducer.robustLinearRegression	Creates a reducer that computes a robust least squares regression with numX independent variables and numY dependent variables, using iteratively reweighted least squares with the Talwar cost function. A point is considered an outlier if the RMS of residuals is greater than beta.	ee.Reducer.robustLinearRegression(numX, numY, beta)	Reducer	numX|numY|beta	Integer|Integer, default: 1|Float, default: null	The number of input dimensions.|The number of output dimensions.|Residual error outlier margin. If null, a default value will be computed.
ee.Reducer.sampleStdDev	Returns a Reducer that computes the sample standard deviation of its inputs.	ee.Reducer.sampleStdDev()	Reducer
ee.Reducer.sampleVariance	Returns a Reducer that computes the sample variance of its inputs.	ee.Reducer.sampleVariance()	Reducer
ee.Reducer.sensSlope	Creates a two-input reducer that computes the Sen's slope estimator.  The inputs are expected to be x data followed by y data.  It returns two double values; the estimated slope and the offset.	ee.Reducer.sensSlope()	Reducer
ee.Reducer.setOutputs	Returns a Reducer with the same inputs as the given Reducer, but with outputs renamed and/or removed.	Reducer.setOutputs(outputs)	Reducer	reducer|outputs	Reducer|List	|The new output names; any output whose name is null or empty will be dropped.
ee.Reducer.skew	Returns a Reducer that Computes the skewness of its inputs.	ee.Reducer.skew()	Reducer
ee.Reducer.spearmansCorrelation	Creates a two-input reducer that computes the Spearman's rank-moment correlation.  See https://commons.apache.org/proper/commons-math/javadocs/api-3.6/org/apache/commons/math3/stat/correlation/SpearmansCorrelation.html for details.	ee.Reducer.spearmansCorrelation()	Reducer
ee.Reducer.splitWeights	Returns a Reducer with the same outputs as the given Reducer, but with each weighted input replaced by two unweighted inputs.	Reducer.splitWeights()	Reducer	reducer	Reducer
ee.Reducer.stdDev	Returns a Reducer that computes the standard deviation of its inputs.	ee.Reducer.stdDev()	Reducer
ee.Reducer.sum	Returns a Reducer that computes the (weighted) sum of its inputs.	ee.Reducer.sum()	Reducer
ee.Reducer.toCollection	Returns a reducer that collects its inputs into a FeatureCollection.	ee.Reducer.toCollection(propertyNames, numOptional)	Reducer	propertyNames|numOptional	List|Integer, default: 0	The property names that will be defined on each output feature; determines the number of reducer inputs.|The last numOptional inputs will be considered optional; the other inputs must be non-null or the input tuple will be dropped.
ee.Reducer.toList	Creates a reducer that collects its inputs into a list, optionally grouped into tuples.	ee.Reducer.toList(tupleSize, numOptional)	Reducer	tupleSize|numOptional	Integer, default: null|Integer, default: 0	The size of each output tuple, or null for no grouping. Also determines the number of inputs (null tupleSize has 1 input).|The last numOptional inputs will be considered optional; the other inputs must be non-null or the input tuple will be dropped.
ee.Reducer.unweighted	Returns a Reducer with the same inputs and outputs as the given Reducer, but with no weighted inputs.	Reducer.unweighted()	Reducer	reducer	Reducer
ee.Reducer.variance	Returns a Reducer that computes the variance of its inputs.	ee.Reducer.variance()	Reducer
ee.String	Constructs a new String.	ee.String(string)	String	string	Object|String	A string or a computed object.
ee.String.aside	Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:	String.aside(func, var_args)	ComputedObject	computedobject|func|var_args	ComputedObject|Function|VarArgs	The ComputedObject instance.|The function to call.|Any extra arguments to pass to the function.
ee.String.cat	Concatenates two strings.	String.cat(string2)	String	string1|string2	String|String	The first string.|The second string.
ee.String.compareTo	Compares two strings lexicographically. Returns: the value 0 if the two strings are lexicographically equal; a value less than 0 if string1 is less than string2;  and a value greater than 0 if string1 is lexicographically greater than string2.	String.compareTo(string2)	Integer	string1|string2	String|String	The string to compare.|The string to be compared.
ee.String.decodeJSON	Decodes a JSON string.	String.decodeJSON()	Object	string	String	The string to decode.
ee.String.evaluate	Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.	String.evaluate(callback)		computedobject|callback	ComputedObject|Function	The ComputedObject instance.|A function of the form function(success, failure), called when the server returns an answer. If the request succeeded, the success argument contains the evaluated result.  If the request failed, the failure argument will contains an error message.
ee.String.getInfo	Retrieves the value of this object from the server.	String.getInfo(callback)	Object	computedobject|callback	ComputedObject|Function, optional	The ComputedObject instance.|An optional callback. If not supplied, the call is made synchronously.
ee.String.index	Searches a string for the first occurrence of a substring.  Returns the index of the first match, or -1.	String.index(pattern)	Integer	target|pattern	String|String	The string to search.|The string to find.
ee.String.length	Returns the length of a string.	String.length()	Integer	string	String	The string from which to get the length.
ee.String.match	Matches a string against a regular expression.  Returns a list of matching strings.	String.match(regex, flags)	List	input|regex|flags	"String|String|String, default: """""	The string in which to search.|The regular expression to match.|A string specifying a combination of regular expression flags, specifically one or more of: 'g' (global match) or 'i' (ignore case)
ee.String.replace	Returns a new string with some or all matches of a pattern replaced.	String.replace(regex, replacement, flags)	String	input|regex|replacement|flags	"String|String|String|String, default: """""	The string in which to search.|The regular expression to match.|The string that replaces the matched substring.|A string specifying a combination of regular expression flags, specifically one or more of: 'g' (global match) or 'i' (ignore case)
ee.String.rindex	Searches a string for the last occurrence of a substring.  Returns the index of the first match, or -1.	String.rindex(pattern)	Integer	target|pattern	String|String	The string to search.|The string to find.
ee.String.serialize	Returns the serialized representation of this object.	String.serialize()	String	computedobject	ComputedObject	The ComputedObject instance.
ee.String.slice	Returns a substring of the given string. If the specified range exceeds the length of the string, returns a shorter substring.	String.slice(start, end)	String	string|start|end	String|Integer|Integer, default: null	The string to subset.|The beginning index, inclusive.  Negative numbers count backwards from the end of the string.|The ending index, exclusive.  Defaults to the length of the string. Negative numbers count backwards from the end of the string.
ee.String.split	Splits a string on a regular expression, Returning a list of strings.	String.split(regex, flags)	List	string|regex|flags	"String|String|String, default: """""	The string to split.|A regular expression to split on. If regex is the empty string, then the input string is split into individual characters.|A string specifying the regular expression flag: 'i' (ignore case)
ee.String.toLowerCase	Converts all of the characters in a string to lower case.	String.toLowerCase()	String	string	String	The string to convert to lower case.
ee.String.toUpperCase	Converts all of the characters in a string to upper case.	String.toUpperCase()	String	string	String	The string to convert to upper case.
ee.String.trim	Returns a string whose value is the original string, with any leading and trailing whitespace removed.	String.trim()	String	string	String	The string to trim.
ee.Terrain.aspect	Calculates aspect in degrees from a terrain DEM.	ee.Terrain.aspect(input)	Image	input	Image	An elevation image, in meters.
ee.Terrain.fillMinima	Fills local minima.  Only works on INT types.	ee.Terrain.fillMinima(image, borderValue, neighborhood)	Image	image|borderValue|neighborhood	Image|Long, default: null|Integer, default: 50	The image to fill.|The border value.|The size of the neighborhood to compute over.
